a=50: 42 primes, density 1.2220 [0s]
a=100: 77 primes, density 1.4244 [0s]
a=150: 97 primes, density 1.5187 [0s]
a=200: 123 primes, density 1.5993 [0s]
a=250: 147 primes, density 1.6440 [0s]
a=300: 162 primes, density 1.6746 [0s]
a=350: 175 primes, density 1.6992 [0s]
a=400: 193 primes, density 1.7304 [0s]
a=450: 204 primes, density 1.7515 [0s]
a=500: 218 primes, density 1.7698 [0s]
a=550: 232 primes, density 1.7901 [0s]
a=600: 244 primes, density 1.8046 [0s]
a=650: 256 primes, density 1.8206 [0s]
a=700: 267 primes, density 1.8347 [0s]
a=750: 276 primes, density 1.8457 [0s]
a=800: 290 primes, density 1.8611 [0s]
a=850: 298 primes, density 1.8684 [0s]
a=900: 306 primes, density 1.8764 [1s]
a=950: 318 primes, density 1.8877 [1s]
a=1000: 321 primes, density 1.8897 [1s]
a=1050: 325 primes, density 1.8936 [1s]
a=1100: 331 primes, density 1.8992 [1s]
a=1150: 337 primes, density 1.9046 [1s]
a=1200: 343 primes, density 1.9096 [1s]
a=1250: 349 primes, density 1.9145 [1s]
a=1300: 357 primes, density 1.9208 [1s]
a=1350: 362 primes, density 1.9246 [1s]
a=1400: 368 primes, density 1.9290 [1s]
a=1450: 373 primes, density 1.9325 [1s]
a=1500: 382 primes, density 1.9386 [1s]
a=1550: 387 primes, density 1.9418 [1s]
a=1600: 394 primes, density 1.9463 [1s]
a=1650: 401 primes, density 1.9506 [1s]
a=1700: 407 primes, density 1.9542 [1s]
a=1750: 414 primes, density 1.9582 [1s]
a=1800: 418 primes, density 1.9605 [1s]
a=1850: 421 primes, density 1.9621 [1s]
a=1900: 430 primes, density 1.9669 [1s]
a=1950: 437 primes, density 1.9706 [1s]
a=2000: 442 primes, density 1.9731 [1s]
E=2000: 442 primes, total density 1.9731
