primes_e5000.json d=12 N0=1: pool 216 primes, density 1.1632, alg free 0.000, samples 120000
greedy+LS: uncovered 0.2271 [1s]
iter 0: uncovered 0.2270 [2s]
iter 1: uncovered 0.2267 [3s]
iter 5: uncovered 0.2266 [6s]
iter 7: uncovered 0.2266 [7s]
iter 8: uncovered 0.2266 [7s]
iter 9: uncovered 0.2265 [8s]
iter 10: uncovered 0.2265 [8s]
iter 11: uncovered 0.2265 [9s]
iter 14: uncovered 0.2265 [11s]
iter 16: uncovered 0.2264 [12s]
iter 35: uncovered 0.2264 [21s]
iter 41: uncovered 0.2264 [23s]
iter 48: uncovered 0.2264 [26s]
iter 85: uncovered 0.2264 [40s]
iter 87: uncovered 0.2263 [41s]
iter 88: uncovered 0.2263 [42s]
iter 104: uncovered 0.2263 [48s]
iter 105: uncovered 0.2263 [49s]
iter 107: uncovered 0.2262 [50s]
iter 111: uncovered 0.2262 [52s]
iter 118: uncovered 0.2262 [55s]
iter 124: uncovered 0.2262 [57s]
iter 131: uncovered 0.2262 [60s]
iter 132: uncovered 0.2261 [61s]
iter 136: uncovered 0.2261 [62s]
FINAL: estimated uncovered 0.2261 [68s]
