a=1: 0 primes so far, density 0.0000  [0s]
a=2: 0 primes so far, density 0.0000  [0s]
a=3: 1 primes so far, density 0.1667  [0s]
a=4: 2 primes so far, density 0.4167  [0s]
a=5: 3 primes so far, density 0.4500  [0s]
a=6: 3 primes so far, density 0.4500  [0s]
a=7: 4 primes so far, density 0.4579  [0s]
a=8: 5 primes so far, density 0.5204  [0s]
a=9: 6 primes so far, density 0.5482  [0s]
a=10: 7 primes so far, density 0.6482  [0s]
a=11: 9 primes so far, density 0.7505  [0s]
a=12: 10 primes so far, density 0.8338  [0s]
a=14: 11 primes so far, density 0.8576  [0s]
a=15: 11 primes so far, density 0.8576  [0s]
a=16: 11 primes so far, density 0.8576  [0s]
a=18: 12 primes so far, density 0.9132  [0s]
a=20: 13 primes so far, density 0.9382  [0s]
a=21: 14 primes so far, density 0.9441  [0s]
a=22: 14 primes so far, density 0.9441  [0s]
a=24: 15 primes so far, density 0.9525  [0s]
a=28: 17 primes so far, density 0.9971  [0s]
a=30: 18 primes so far, density 1.0001  [0s]
a=33: 18 primes so far, density 1.0001  [0s]
a=35: 19 primes so far, density 1.0287  [0s]
a=36: 20 primes so far, density 1.0565  [0s]
a=40: 20 primes so far, density 1.0565  [0s]
a=42: 20 primes so far, density 1.0565  [0s]
a=44: 21 primes so far, density 1.0590  [0s]
a=45: 22 primes so far, density 1.0606  [0s]
a=48: 24 primes so far, density 1.0844  [0s]
a=55: 25 primes so far, density 1.0856  [0s]
a=56: 25 primes so far, density 1.0856  [0s]
a=60: 27 primes so far, density 1.1037  [0s]
a=63: 27 primes so far, density 1.1037  [0s]
a=66: 28 primes so far, density 1.1189  [0s]
a=70: 29 primes so far, density 1.1225  [0s]
a=72: 29 primes so far, density 1.1225  [0s]
a=77: 29 primes so far, density 1.1225  [0s]
a=80: 29 primes so far, density 1.1225  [0s]
a=84: 29 primes so far, density 1.1225  [0s]
a=88: 29 primes so far, density 1.1225  [0s]
a=90: 29 primes so far, density 1.1225  [0s]
a=99: 30 primes so far, density 1.1275  [0s]
a=105: 30 primes so far, density 1.1275  [0s]
a=110: 31 primes so far, density 1.1285  [0s]
a=112: 31 primes so far, density 1.1285  [0s]
a=120: 31 primes so far, density 1.1285  [0s]
a=126: 31 primes so far, density 1.1285  [0s]
a=132: 31 primes so far, density 1.1285  [0s]
a=140: 31 primes so far, density 1.1285  [0s]
a=144: 32 primes so far, density 1.1355  [0s]
a=154: 33 primes so far, density 1.1371  [0s]
a=165: 33 primes so far, density 1.1371  [0s]
a=168: 34 primes so far, density 1.1377  [0s]
a=176: 34 primes so far, density 1.1377  [0s]
a=180: 35 primes so far, density 1.1432  [0s]
a=198: 35 primes so far, density 1.1432  [0s]
a=210: 36 primes so far, density 1.1480  [0s]
a=220: 36 primes so far, density 1.1480  [0s]
a=231: 37 primes so far, density 1.1502  [0s]
a=240: 37 primes so far, density 1.1502  [0s]
a=252: 37 primes so far, density 1.1502  [0s]
a=264: 38 primes so far, density 1.1507  [0s]
a=280: 38 primes so far, density 1.1507  [0s]
a=308: 38 primes so far, density 1.1507  [0s]
a=315: 38 primes so far, density 1.1507  [0s]
a=330: 38 primes so far, density 1.1507  [0s]
a=336: 39 primes so far, density 1.1517  [0s]
a=360: 39 primes so far, density 1.1517  [0s]
a=385: 40 primes so far, density 1.1519  [0s]
a=396: 40 primes so far, density 1.1519  [0s]
a=420: 41 primes so far, density 1.1543  [0s]
a=440: 41 primes so far, density 1.1543  [0s]
a=462: 41 primes so far, density 1.1543  [0s]
a=495: 42 primes so far, density 1.1553  [0s]
a=504: 43 primes so far, density 1.1573  [0s]
a=528: 43 primes so far, density 1.1573  [0s]
a=560: 43 primes so far, density 1.1573  [0s]
a=616: 43 primes so far, density 1.1573  [0s]
a=630: 43 primes so far, density 1.1573  [0s]
a=660: 44 primes so far, density 1.1588  [0s]
a=693: 44 primes so far, density 1.1588  [0s]
a=720: 44 primes so far, density 1.1588  [0s]
a=770: 44 primes so far, density 1.1588  [0s]
a=792: 44 primes so far, density 1.1588  [0s]
a=840: 44 primes so far, density 1.1588  [0s]
a=880: 44 primes so far, density 1.1588  [0s]
a=924: 44 primes so far, density 1.1588  [0s]
a=990: 44 primes so far, density 1.1588  [0s]
a=1008: 44 primes so far, density 1.1588  [0s]
a=1155: 45 primes so far, density 1.1592  [0s]
a=1232: 46 primes so far, density 1.1593  [0s]
a=1260: 47 primes so far, density 1.1601  [0s]
a=1320: 47 primes so far, density 1.1601  [0s]
a=1386: 47 primes so far, density 1.1601  [0s]
a=1540: 47 primes so far, density 1.1601  [0s]
a=1584: 48 primes so far, density 1.1608  [0s]
a=1680: 49 primes so far, density 1.1613  [0s]
a=1848: 50 primes so far, density 1.1619  [0s]
a=1980: 50 primes so far, density 1.1619  [0s]
a=2310: 52 primes so far, density 1.1624  [0s]
a=2520: 52 primes so far, density 1.1624  [0s]
a=2640: 53 primes so far, density 1.1628  [0s]
a=2772: 53 primes so far, density 1.1628  [0s]
a=3080: 53 primes so far, density 1.1628  [0s]
