a=1232: 72 primes so far, density 1.2429  [0s]
a=1260: 73 primes so far, density 1.2437  [0s]
a=1287: 73 primes so far, density 1.2437  [0s]
a=1320: 73 primes so far, density 1.2437  [0s]
a=1365: 73 primes so far, density 1.2437  [0s]
a=1386: 73 primes so far, density 1.2437  [0s]
a=1430: 73 primes so far, density 1.2437  [0s]
a=1456: 73 primes so far, density 1.2437  [0s]
a=1540: 73 primes so far, density 1.2437  [0s]
a=1560: 73 primes so far, density 1.2437  [0s]
a=1584: 74 primes so far, density 1.2443  [0s]
a=1638: 74 primes so far, density 1.2443  [0s]
a=1680: 75 primes so far, density 1.2449  [0s]
a=1716: 76 primes so far, density 1.2455  [0s]
a=1820: 76 primes so far, density 1.2455  [0s]
a=1848: 77 primes so far, density 1.2460  [0s]
a=1872: 77 primes so far, density 1.2460  [0s]
a=1980: 77 primes so far, density 1.2460  [0s]
a=2002: 77 primes so far, density 1.2460  [0s]
a=2145: 77 primes so far, density 1.2460  [0s]
a=2184: 78 primes so far, density 1.2462  [0s]
a=2288: 78 primes so far, density 1.2462  [0s]
a=2310: 80 primes so far, density 1.2467  [0s]
a=2340: 80 primes so far, density 1.2467  [0s]
a=2520: 80 primes so far, density 1.2467  [0s]
a=2574: 80 primes so far, density 1.2467  [0s]
a=2640: 81 primes so far, density 1.2471  [0s]
a=2730: 81 primes so far, density 1.2471  [0s]
a=2772: 81 primes so far, density 1.2471  [0s]
a=2860: 82 primes so far, density 1.2474  [0s]
a=3003: 82 primes so far, density 1.2474  [0s]
a=3080: 82 primes so far, density 1.2474  [0s]
a=3120: 82 primes so far, density 1.2474  [0s]
a=3276: 82 primes so far, density 1.2474  [0s]
a=3432: 83 primes so far, density 1.2477  [0s]
a=3465: 83 primes so far, density 1.2477  [0s]
a=3640: 83 primes so far, density 1.2477  [0s]
a=3696: 83 primes so far, density 1.2477  [0s]
a=3960: 83 primes so far, density 1.2477  [0s]
a=4004: 84 primes so far, density 1.2478  [0s]
a=4095: 84 primes so far, density 1.2478  [0s]
a=4290: 84 primes so far, density 1.2478  [0s]
a=4368: 85 primes so far, density 1.2481  [0s]
a=4620: 86 primes so far, density 1.2483  [0s]
a=4680: 86 primes so far, density 1.2483  [0s]
a=5005: 86 primes so far, density 1.2483  [0s]
a=5040: 86 primes so far, density 1.2483  [0s]
a=5148: 86 primes so far, density 1.2483  [0s]
a=5460: 86 primes so far, density 1.2483  [0s]
a=5544: 86 primes so far, density 1.2483  [0s]
a=5720: 86 primes so far, density 1.2483  [0s]
a=6006: 86 primes so far, density 1.2483  [0s]
a=6160: 86 primes so far, density 1.2483  [0s]
a=6435: 87 primes so far, density 1.2484  [0s]
a=6552: 87 primes so far, density 1.2484  [0s]
a=6864: 88 primes so far, density 1.2485  [0s]
a=6930: 88 primes so far, density 1.2485  [0s]
a=7280: 88 primes so far, density 1.2485  [0s]
a=7920: 88 primes so far, density 1.2485  [0s]
a=8008: 89 primes so far, density 1.2486  [0s]
a=8190: 90 primes so far, density 1.2487  [0s]
a=8580: 90 primes so far, density 1.2487  [0s]
a=9009: 90 primes so far, density 1.2487  [0s]
a=9240: 90 primes so far, density 1.2487  [0s]
a=9360: 90 primes so far, density 1.2487  [0s]
a=10010: 90 primes so far, density 1.2487  [0s]
a=10296: 90 primes so far, density 1.2487  [0s]
a=10920: 90 primes so far, density 1.2487  [0s]
a=11088: 90 primes so far, density 1.2487  [0s]
a=11440: 90 primes so far, density 1.2487  [0s]
a=12012: 90 primes so far, density 1.2487  [0s]
a=12870: 90 primes so far, density 1.2487  [0s]
a=13104: 90 primes so far, density 1.2487  [0s]
a=13860: 90 primes so far, density 1.2487  [0s]
a=15015: 90 primes so far, density 1.2487  [0s]
a=16016: 90 primes so far, density 1.2487  [0s]
a=16380: 91 primes so far, density 1.2487  [0s]
a=17160: 91 primes so far, density 1.2487  [0s]
a=18018: 91 primes so far, density 1.2487  [0s]
a=18480: 91 primes so far, density 1.2487  [0s]
N=720720: 91 primes, density 1.2487; largest prime 270271 (19 bits)
