a=1: 0 primes so far, density 0.0000  [0s]
a=2: 0 primes so far, density 0.0000  [0s]
a=3: 1 primes so far, density 0.1667  [0s]
a=4: 2 primes so far, density 0.4167  [0s]
a=5: 3 primes so far, density 0.4500  [0s]
a=6: 3 primes so far, density 0.4500  [0s]
a=7: 4 primes so far, density 0.4579  [0s]
a=8: 5 primes so far, density 0.5204  [0s]
a=9: 6 primes so far, density 0.5482  [0s]
a=10: 7 primes so far, density 0.6482  [0s]
a=11: 9 primes so far, density 0.7505  [0s]
a=12: 10 primes so far, density 0.8338  [0s]
a=13: 11 primes so far, density 0.8349  [0s]
a=14: 12 primes so far, density 0.8587  [0s]
a=15: 12 primes so far, density 0.8587  [0s]
a=16: 12 primes so far, density 0.8587  [0s]
a=18: 13 primes so far, density 0.9143  [0s]
a=20: 14 primes so far, density 0.9393  [0s]
a=21: 15 primes so far, density 0.9452  [0s]
a=22: 15 primes so far, density 0.9452  [0s]
a=24: 16 primes so far, density 0.9536  [0s]
a=26: 17 primes so far, density 0.9539  [0s]
a=27: 17 primes so far, density 0.9539  [0s]
a=28: 19 primes so far, density 0.9986  [0s]
a=30: 20 primes so far, density 1.0016  [0s]
a=32: 20 primes so far, density 1.0016  [0s]
a=33: 20 primes so far, density 1.0016  [0s]
a=35: 21 primes so far, density 1.0302  [0s]
a=36: 23 primes so far, density 1.0672  [0s]
a=39: 24 primes so far, density 1.0800  [0s]
a=40: 24 primes so far, density 1.0800  [0s]
a=42: 24 primes so far, density 1.0800  [0s]
a=44: 26 primes so far, density 1.0835  [0s]
a=45: 27 primes so far, density 1.0851  [0s]
a=48: 29 primes so far, density 1.1089  [0s]
a=52: 31 primes so far, density 1.1345  [0s]
a=54: 31 primes so far, density 1.1345  [0s]
a=55: 32 primes so far, density 1.1357  [0s]
a=56: 32 primes so far, density 1.1357  [0s]
a=60: 34 primes so far, density 1.1539  [0s]
a=63: 34 primes so far, density 1.1539  [0s]
a=65: 34 primes so far, density 1.1539  [0s]
a=66: 35 primes so far, density 1.1690  [0s]
a=70: 36 primes so far, density 1.1726  [0s]
a=72: 37 primes so far, density 1.1772  [0s]
a=77: 37 primes so far, density 1.1772  [0s]
a=78: 37 primes so far, density 1.1772  [0s]
a=80: 37 primes so far, density 1.1772  [0s]
a=84: 37 primes so far, density 1.1772  [0s]
a=88: 38 primes so far, density 1.1801  [0s]
a=90: 38 primes so far, density 1.1801  [0s]
a=91: 39 primes so far, density 1.1823  [0s]
a=96: 40 primes so far, density 1.1927  [0s]
a=99: 41 primes so far, density 1.1977  [0s]
a=104: 41 primes so far, density 1.1977  [0s]
a=105: 41 primes so far, density 1.1977  [0s]
a=108: 41 primes so far, density 1.1977  [0s]
a=110: 42 primes so far, density 1.1987  [0s]
a=112: 42 primes so far, density 1.1987  [0s]
a=117: 44 primes so far, density 1.2116  [0s]
a=120: 44 primes so far, density 1.2116  [0s]
a=126: 44 primes so far, density 1.2116  [0s]
a=130: 45 primes so far, density 1.2192  [0s]
a=132: 45 primes so far, density 1.2192  [0s]
a=135: 46 primes so far, density 1.2230  [0s]
a=140: 46 primes so far, density 1.2230  [0s]
a=143: 46 primes so far, density 1.2230  [0s]
a=144: 47 primes so far, density 1.2299  [0s]
a=154: 48 primes so far, density 1.2315  [0s]
a=156: 52 primes so far, density 1.2406  [0s]
a=160: 52 primes so far, density 1.2406  [0s]
a=165: 52 primes so far, density 1.2406  [0s]
a=168: 53 primes so far, density 1.2412  [0s]
a=176: 53 primes so far, density 1.2412  [0s]
a=180: 54 primes so far, density 1.2468  [0s]
a=182: 54 primes so far, density 1.2468  [0s]
a=189: 54 primes so far, density 1.2468  [0s]
a=195: 54 primes so far, density 1.2468  [0s]
a=198: 54 primes so far, density 1.2468  [0s]
a=208: 54 primes so far, density 1.2468  [0s]
a=210: 55 primes so far, density 1.2515  [0s]
a=216: 55 primes so far, density 1.2515  [0s]
a=220: 55 primes so far, density 1.2515  [0s]
a=224: 55 primes so far, density 1.2515  [0s]
a=231: 56 primes so far, density 1.2537  [0s]
a=234: 56 primes so far, density 1.2537  [0s]
a=240: 56 primes so far, density 1.2537  [0s]
a=252: 56 primes so far, density 1.2537  [0s]
a=260: 57 primes so far, density 1.2556  [0s]
a=264: 58 primes so far, density 1.2562  [0s]
a=270: 59 primes so far, density 1.2571  [0s]
a=273: 59 primes so far, density 1.2571  [0s]
a=280: 59 primes so far, density 1.2571  [0s]
a=286: 60 primes so far, density 1.2576  [0s]
a=288: 61 primes so far, density 1.2579  [0s]
a=297: 61 primes so far, density 1.2579  [0s]
a=308: 62 primes so far, density 1.2580  [0s]
a=312: 62 primes so far, density 1.2580  [0s]
a=315: 62 primes so far, density 1.2580  [0s]
a=330: 62 primes so far, density 1.2580  [0s]
a=336: 63 primes so far, density 1.2590  [0s]
a=351: 63 primes so far, density 1.2590  [0s]
a=352: 63 primes so far, density 1.2590  [0s]
a=360: 63 primes so far, density 1.2590  [0s]
a=364: 64 primes so far, density 1.2618  [0s]
a=378: 65 primes so far, density 1.2644  [0s]
